USER_ID,EVENT_DTM,EVENT_NAME
921021,2023-12-01 00:13:07.000000000,event
921021,2023-12-01 00:13:08.000000000,event
193576,2023-12-01 00:13:33.000000000,event
193576,2023-12-01 00:13:34.000000000,event
921021,2023-12-01 00:17:07.000000000,event
921021,2023-12-01 00:17:08.000000000,event
921021,2023-12-01 00:17:09.000000000,event
921021,2023-12-01 00:17:10.000000000,event
921021,2023-12-01 00:21:09.000000000,event
921021,2023-12-01 00:21:10.000000000,event
921021,2023-12-01 00:21:11.000000000,purchase
921021,2023-12-01 00:21:17.000000000,event
921021,2023-12-01 00:21:25.000000000,event
921021,2023-12-01 00:21:26.000000000,event
193576,2023-12-01 00:29:59.000000000,event
193576,2023-12-01 00:30:00.000000000,event
193576,2023-12-01 00:30:01.000000000,event
193576,2023-12-01 00:30:02.000000000,event
193576,2023-12-01 00:30:04.000000000,event
193576,2023-12-01 00:30:14.000000000,event
193576,2023-12-01 00:30:23.000000000,event
193576,2023-12-01 00:30:29.000000000,event
193576,2023-12-01 00:30:38.000000000,event
193576,2023-12-01 00:30:46.000000000,event
193576,2023-12-01 00:30:47.000000000,event
193576,2023-12-01 00:30:49.000000000,event
193576,2023-12-01 00:30:58.000000000,event
193576,2023-12-01 00:30:59.000000000,event
193576,2023-12-01 00:31:01.000000000,event
193576,2023-12-01 00:31:08.000000000,session_end
193576,2023-12-01 00:31:09.000000000,event
193576,2023-12-01 00:31:11.000000000,event
193576,2023-12-01 00:31:15.000000000,event
193576,2023-12-01 00:31:30.000000000,event
193576,2023-12-01 00:31:33.000000000,event
193576,2023-12-01 00:31:39.000000000,event
193576,2023-12-01 00:31:52.000000000,event
193576,2023-12-01 00:32:13.000000000,session_end
193576,2023-12-01 00:32:21.000000000,event
193576,2023-12-01 00:32:34.000000000,event
193576,2023-12-01 00:32:35.000000000,event
193576,2023-12-01 00:32:36.000000000,event
193576,2023-12-01 00:32:41.000000000,event
193576,2023-12-01 00:32:55.000000000,event
193576,2023-12-01 00:32:57.000000000,event
193576,2023-12-01 00:33:14.000000000,event
193576,2023-12-01 00:33:21.000000000,event
193576,2023-12-01 00:33:22.000000000,session_end
193576,2023-12-01 00:33:24.000000000,event
193576,2023-12-01 00:33:34.000000000,event
193576,2023-12-01 00:33:53.000000000,event
193576,2023-12-01 00:33:54.000000000,event
193576,2023-12-01 00:33:56.000000000,event
193576,2023-12-01 00:34:03.000000000,event
193576,2023-12-01 00:34:16.000000000,event
193576,2023-12-01 00:34:24.000000000,event
193576,2023-12-01 00:34:35.000000000,event
193576,2023-12-01 00:34:36.000000000,event
193576,2023-12-01 00:34:38.000000000,event
193576,2023-12-01 00:34:40.000000000,event
193576,2023-12-01 00:34:53.000000000,event
193576,2023-12-01 00:34:55.000000000,event
193576,2023-12-01 00:34:57.000000000,event
193576,2023-12-01 00:35:03.000000000,event
193576,2023-12-01 00:35:19.000000000,event
193576,2023-12-01 00:36:17.000000000,event
193576,2023-12-01 00:36:18.000000000,event
193576,2023-12-01 00:36:19.000000000,event
193576,2023-12-01 00:36:21.000000000,event
193576,2023-12-01 00:36:22.000000000,event
690013,2023-12-01 00:37:27.000000000,event
690013,2023-12-01 00:37:31.000000000,event
690013,2023-12-01 00:37:46.000000000,event
690013,2023-12-01 00:37:47.000000000,event
690013,2023-12-01 00:37:59.000000000,event
690013,2023-12-01 00:38:22.000000000,event
690013,2023-12-01 00:38:31.000000000,event
690013,2023-12-01 00:38:34.000000000,event
690013,2023-12-01 00:38:35.000000000,event
690013,2023-12-01 00:38:36.000000000,event
690013,2023-12-01 00:38:50.000000000,event
690013,2023-12-01 00:38:56.000000000,event
830079,2023-12-01 00:39:28.000000000,event
830079,2023-12-01 00:39:30.000000000,event
830079,2023-12-01 00:39:31.000000000,event
830079,2023-12-01 00:39:32.000000000,event
830079,2023-12-01 00:39:33.000000000,event
830079,2023-12-01 00:39:34.000000000,event
690013,2023-12-01 00:42:43.000000000,event
690013,2023-12-01 00:42:45.000000000,event
690013,2023-12-01 00:42:47.000000000,event
690013,2023-12-01 00:42:51.000000000,event
690013,2023-12-01 00:42:52.000000000,event
690013,2023-12-01 00:43:09.000000000,event
690013,2023-12-01 00:43:11.000000000,event
690013,2023-12-01 00:43:15.000000000,event
690013,2023-12-01 00:43:16.000000000,event
690013,2023-12-01 00:43:21.000000000,event
690013,2023-12-01 00:43:22.000000000,event
690013,2023-12-01 00:46:11.000000000,event
690013,2023-12-01 00:46:30.000000000,event
690013,2023-12-01 00:46:51.000000000,event
690013,2023-12-01 00:46:52.000000000,event
690013,2023-12-01 00:46:53.000000000,event
690013,2023-12-01 00:48:18.000000000,event
690013,2023-12-01 00:48:21.000000000,event
696105,2023-12-01 00:49:53.000000000,event
696105,2023-12-01 00:49:54.000000000,event
696105,2023-12-01 00:49:55.000000000,event
696105,2023-12-01 00:49:59.000000000,event
921021,2023-12-01 00:56:24.000000000,event
921021,2023-12-01 00:56:25.000000000,event
921021,2023-12-01 00:56:26.000000000,event
921021,2023-12-01 00:56:40.000000000,event
193576,2023-12-01 00:56:54.000000000,event
921021,2023-12-01 00:57:29.000000000,event
193576,2023-12-01 00:57:40.000000000,event
193576,2023-12-01 00:57:41.000000000,event
193576,2023-12-01 00:57:44.000000000,event
193576,2023-12-01 00:57:46.000000000,event
193576,2023-12-01 00:57:49.000000000,event
193576,2023-12-01 00:57:59.000000000,event
193576,2023-12-01 00:58:00.000000000,event
193576,2023-12-01 00:58:05.000000000,event
193576,2023-12-01 00:58:12.000000000,event
193576,2023-12-01 00:59:39.000000000,event
193576,2023-12-01 00:59:40.000000000,event
193576,2023-12-01 00:59:41.000000000,event
921021,2023-12-01 01:02:30.000000000,event
921021,2023-12-01 01:02:31.000000000,event
921021,2023-12-01 01:02:32.000000000,event
921021,2023-12-01 01:02:35.000000000,event
921021,2023-12-01 01:02:36.000000000,event
921021,2023-12-01 01:12:16.000000000,event
921021,2023-12-01 01:12:29.000000000,event
921021,2023-12-01 01:12:50.000000000,event
893106,2023-12-01 01:41:50.000000000,event
893106,2023-12-01 01:41:58.000000000,event
893106,2023-12-01 01:41:59.000000000,event
893106,2023-12-01 01:42:00.000000000,event
893106,2023-12-01 01:42:07.000000000,event
893106,2023-12-01 01:42:30.000000000,event
893106,2023-12-01 01:43:06.000000000,event
893106,2023-12-01 01:43:07.000000000,event
893106,2023-12-01 01:43:14.000000000,session_start
893106,2023-12-01 01:43:22.000000000,event
893106,2023-12-01 01:43:23.000000000,event
893106,2023-12-01 01:43:36.000000000,session_start
169654,2023-12-01 01:43:45.000000000,event
169654,2023-12-01 01:43:47.000000000,event
169654,2023-12-01 01:43:48.000000000,event
169654,2023-12-01 01:43:54.000000000,event
169654,2023-12-01 01:43:55.000000000,event
893106,2023-12-01 01:43:57.000000000,event
893106,2023-12-01 01:44:05.000000000,event
893106,2023-12-01 01:44:12.000000000,event
169654,2023-12-01 01:46:41.000000000,event
169654,2023-12-01 01:46:42.000000000,event
893106,2023-12-01 01:47:18.000000000,event
167415,2023-12-01 02:00:48.000000000,event
167415,2023-12-01 02:01:04.000000000,event
167415,2023-12-01 02:01:06.000000000,event
167415,2023-12-01 02:01:07.000000000,event
167415,2023-12-01 02:01:09.000000000,event
167415,2023-12-01 02:01:19.000000000,event
167415,2023-12-01 02:01:27.000000000,event
167415,2023-12-01 02:01:35.000000000,event
167415,2023-12-01 02:01:36.000000000,event
167415,2023-12-01 02:01:39.000000000,event
